Descrizione,Categoria,Sottocategoria,Listino 4 (ivato),Note,Produttore,Cod. Fornitore,Categoria,Immagine,Internet
1600T Serie III,Macchine,Tosaerba a taglio rotativo per ampie superfici,,"Trazione integrale permanente o su richiesta
Realizzato per la falciatura di superfici ampie
I piatti di taglio sono costruiti a partire da acciaio durezza 7 con una barra di protezione aggiuntiva da 19 mm
Specifiche
John Deere 1600T Serie III Tosaerba a taglio rotativo per ampie superfici
Motore - Costurrote/modello 4TNV86CT-DJWM (T4)
Motore - Potenza Potenza lorda SAE J1995 a 3000 giri/min, PS 60 hp44 kW
Capacità serbatoio carburante 22 U.S. gal.83,3 L
Apparati falcianti - Dimensioni 62, 94, 128 in.157, 239, 325 cm
Velocità punta della lama 13 fpm3962 m/min
Tipo di trasmissione Idrostatica
Gamma di velocità
Ruote motrici 26x12-12
Ruote guida Piatto ad alette: Quattro, 11x4-5, antiforaturaPiatto frontale: Due, 11x4-5, antiforatura
Garanzia 2 anni
Costruttore/modello
Modello 4TNV86CT-DJWM (T4)
Cilindrata 127,6 cu in.2091 L
Alesaggio e corsa 3,4x3,5 in.86x90 mm
Iniezione Diretta
Dispositivo ausiliario di avviamento Candela a incandescenza del motore
Cilindri Quattro
Ciclo Quattro
Potenza Potenza lorda SAE J1995 a 3000 giri/min, PS 60 hp44 kW
Regime motore nominale 3000 rpm
Gamma di funzionamento Con regolatore isocrono 1400-3030 rpm
Lubrificazione Pressurizzata da pompa a lobi
Filtro olio Ad avvitamento rapido
Raffreddamento Forzata ad acqua di raffreddamento
Capacità impianto di raffreddamento 2,5 U.S. gal.7,5 L
Capacità del basamento motore 6,1 U.S. qt5,8 L
Rapporto di compressione 19:01
Coppia di funzionamento (netta continua a 3000 giri/min) 103 lb-ft140 Nm
Coppia max in conformità a SAE J1349 (netta continua) 117,3 lb-ft159 Nm
Filtro aria Doppio elemento, tipo a secco
Spia di intasamento dell'aria Standard, tipo progressivo
Spegnimento motore Chiave
Posizione radiatore Montaggio posteriore
Alette radiatore 10 alette per pollice
Potenza (netta intermittente)
Tipo di carburante Diesel
Pompa di alimentazione carburante Elettrica
Filtro del carburante Sostituibile, modello avvitabile
Separatore dell'acqua Sostituibile, elemento a 100 maglie
Dispositivo di avviamento a freddo Fasatura aumentata per un migliore avviamento a freddo
Capacità serbatoio carburante 22 U.S. gal.83,3 L
Tipo di pompa del carburante Meccanico
Foro bocchettone di rifornimento 3 in.7,6 cm
Posizione del serbatoio carburante Lato sinistro della macchina
Disaerazione automatica Il sistema viene disaerato automaticamente grazie alla pompa di alimentazione del carburante a comando elettrico
A pieno carico 3,33 U.S. gal./hr12,7 L/hr
A mezzo carico 1,93 U.S. gal./hr7,31 L/hr
Tipo Idraulico, a centro aperto
Cilindri di sollevamento Alesaggio 2 in.50,8 mm
Pompa Marcia
Sistema di carica Tipo automobilistico
Alternatore 75 amp
Tensione della batteria 12 V
Ampere avviamento a freddo della batteria 675 CCA
Dimensioni motorino d'avviamento 1,9 hp1,4 kW
Pompa di comando della trazione Cilindrata, pompa a pistoni assiali, 3 cu in.49 cc
Motorino Cilindrata, pompa a pistoni assiali, 2 cu in.33 cc
Tipo Circuito chiuso, idrostatico
Valvola di sicurezza dello sterzo 1087 psi
Valvola di sicurezza dell'attrezzo 1600 psi
Capacità serbatoio idraulico 14 U.S. gal.53 L
Tipo di trasmissione Idrostatica
Tipo di transasse Doppia gamma
Transasse Tuff Torque (Kanzaki)
Trazione integrale A richiesta o permanente
Tipo di trazione integrale Trazione ruote posteriori meccanica
Bloccaggio differenziale Meccanico, attivato a pedale
Riduttore finale Planetario
Tipo Interno, disco a bagno d'olio
Freni sterzo Standard
Freni di stazionamento Freno a mano
Gamma di velocità
Velocità di avanzamento ridotta 0-9 mph0-14,5 km/h
Velocità di avanzamento elevata 0-15 mph0-24 km/h
Velocità di retromarcia ridotta 0-4,5 mph0-7,2 km/h
Velocità di retromarcia elevata 0-7,5 mph0-12 km/h
Con apparato falciante 94 dBA
Senza apparato falciante 89 dBA
Tipo di telaio Acciaio tubolare saldato
Spessore 11 gauge0,120 in.3 mm
Tipo Potenza, idrostatica
Volante inclinabile Standard
Giri da finecorsa a finecorsa 2,5
Raggio di sterzata 39 in.99 cm
Sedile Posizioni di regolazioneMultiBraccioliSì, regolabiliSedile deluxe a sospensione pneumatica, regolabile, con schienale alto e con regolazione dell'angolazione dello schienale, regolazione lombare, braccioli di serie
Sicurezza Interblocco di sicurezza e sistema di rilevamento presenza operatore
Ruote motrici A pressione30 psi, 206,8 kPa (anteriore)28 psi, 193,1 kPa (posteriore)26x12-12
Pneumatici di sterzo (posteriori) 18x9,5-8
Carreggiata Multi Trac
Specifica tele 6 PR (entrambe)
Lunghezza (con apparato falciante) 132 in.335 cm
Passo 60 in.152 cm
Larghezza carreggiata 52 in.131 cm
Larghezza con apparati falcianti abbassati 134 in.340 cm
Altezza con struttura di protezione da ripetuti ribaltamenti (ROPS) ROPS in alto, 98 in.249 cmROPS in basso, 74 in.188 cmCon ROPS con tettuccio a quattro montanti, 82 in.208 cm
Larghezza di trasporto 84 in.213 cm
Altezza dal suolo 6,5 in.16,5 cm
Area circolare di erba non tagliata, senza freni
Peso veicolo 4173 lb1892,8 kg
Peso macchina senza apparato falciante 3264 lb1474,2 kg
Tipo ROPS ribaltabile a due montanti di serie o ROPS con tettuccio a quattro montanti conforme alla norma ISO 21299
Acceleratore Manuale
Avanzamento e retromarcia A due pedali
Sollevamento apparato falciante Tre interruttori a due funzioni
Freno di parcheggio Acceleratore a pedale/disco
Spie luminose Riscaldatore aria motore, spia pressione dell'olio, spia temperatura del motore, misuratore carburante, spia della temperatura dell'olio idraulico
Innesto presa di forza (PTO) TipoIdraulico, indipendenteInterruttore solenoide elettrico
Innesto/disinnesto presa di forza (PTO) Solenoide elettrico
Pompa di comando apparato falcante Cilindrata, pompa a pistoni assiali, 2,48 cu in.40,6 cc
Motore dell'apparato falciante TipoIdraulico, centro aperto, circuito chiusoCilindrata, motore, 2,5 cu in.41 cc
Circuito Serie
Tipo di comando apparato falciante Idraulico, circuito chiuso
Fuselli Con trattamento termico, diametro, 1 in.2,54 cm
Fusello con cuscinetti lubrificabili Sì
Apparati falcianti laterali con assorbimento energetico Sì
Circuito apparato falciante Serie
Comando della lama Sezione a C, cinghia a V
Dimensioni 62, 94, 128 in.157, 239, 325 cm
Larghezza di taglio apparato falciante centrale 62 in.157 cm
Larghezza di taglio apparato falciante laterale 42 in.107 cm
Bloccaggio per trasporto Standard
Scarico Posteriore
Struttura dell'apparato Acciaio prefabbricato
Spessore del piatto 7 gauge0,180 in.4,6 mm
Gamma dell’altezza di taglio 1-5,5 in.2,5-13,9 cm
Oscillazione apparato falciante laterale Verso l'alto (con innesto presa di forza (PTO))45ºVerso il basso (con innesto presa di forza (PTO))20º
Efficienza sul campo pari all'80 percento 85% di efficienza sul campo a 10 mph16 km/h11 acres/hr
Tipo Antiforatura
Ruote guida dell’apparato falciante laterale Quattro, 11x4-5, antiforatura
Ruote guida dell'apparato falciante anteriore Due, 11x4-5, antiforatura
Totale lame dell'apparato falciante Sette, tre al centro e due su ciascun lato
Lunghezza lama 22 in.55,88 cm
Larghezza lama 2,5 in.6,35 cm
Spessore della lama 0,312 in.0,79 cm
Velocità punta della lama 13 fpm3962 m/min
Lame intercambiabili su tutti gli apparati falcianti Sì
Garanzia 2 anni
Certificazione ANSI B71.4
Dati Raccolti 12 ott 2017",John Deere,0000,Macchine,C:\ImmaginiDanea\jd\1600T-Serie-III.jpg,https://www.deere.it/it/tosaerba-professionali/tosaerba-a-taglio-rotativo-per-ampie-superfici/1600t/
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Z740R,Macchine,ZTrak™ a benzina,,"16,2 kW (21,7 CV) a 3.100 giri/min (Stage V)
Velocità di avanzamento: 13,7 km/h (8,6 mph)
Larghezze di taglio: 122 cm (48’’) o 137 cm (54’’)
Pneumatici radiali Airless MichelXTweel Turf opzionali
",John Deere,0000,Macchine,C:\ImmaginiDanea\jd\Z740R.jpg,https://www.deere.it/it/tosaerba-professionali/tosaerba-a-raggio-di-sterzata-zero/z740r/
9009A TerrainCut,Macchine,"Macchine da tee, approach e rough",,"Cinque unità di taglio rotative indipendenti da 68,58 cm con larghezza di taglio di 2,74 m
Scocca a forma profonda con scivolo dello scarico posteriore esclusivo
Sistema a spine per regolare l'altezza di taglio comodamente senza l'uso di attrezzi
LoadMatch™ per affrontare al meglio le salite e ottimizzare la qualità di taglio
Specifiche
John Deere 9009A TerrainCut Macchine da tee, approach e rough
Diesel a 4 cilindri turbocompresso a iniezione diretta 55.1 CV (41.1*kW)
Velocità di taglio 0 – 8 mph (0-12,8 km/h)
Larghezza di taglio totale 108 in (274 cm)",John Deere,0000,Macchine,C:\ImmaginiDanea\jd\9009A-TerrainCut.jpg,https://www.deere.it/it/tosaerba-golf-sport/macchine-da-tee-approach-e-rough/9009a-terraincut/
,,,,,,,,,
,,,,,,,,,
1585 TerrainCut,Macchine,Tosaerba Professionali,,"Piatti a scarico laterale 7-Iron PRO od a scarico posteriore FASTBACK
ComfortCab integrata
Motore diesel
Compatibile con la lama anteriore Select e la spazzolatrice anteriore
Specifiche
John Deere 1585 TerrainCut Tosaerba Professionali
Dimensioni piatto 60, 62, 72 in153, 158, 183 cm
Potenza del motore 38.2 CV*28.1 kW
Opzioni combustibile Diesel",John Deere,0000,Macchine,C:\ImmaginiDanea\jd\1585-TerrainCut.jpg,https://www.deere.it/it/tosaerba-professionali/frontali-a-taglio-rotativo/1585-terraincut/
X380,Macchine,Trattorini,8857,"Innesto del piatto: elettrico
Pedali Twin Touch
Cruise Control
Moderno pannello strumenti
Specifications
John Deere X380 Trattorini
Motore - Potenza A 3350 giri/min, 15,2 kW
Motore -  Produttore/Modello FR691V
Tipo di gruppo cambio/differenziale K58 idrostatico integrato con trasmissione
Transasse - Comando Pedali Twin Touch™
Pneumatici posteriori 22x11-10
Tipo sistema di sollevamento Con acceleratore a pedale e supporto a molla regolabile
Larghezza di taglio 122 o 137 cm48 o 54 in.
Garanzia
Cambio olio
Potenza A 3350 giri/min, 15,2 kW
Cilindrata 726 cc44,3 cu in.
Produttore/Modello FR691V
Tipo Valvola in testa (OHV), lubrificazione a piena pressione, filtro olio
Cilindri Accoppiati a V, rivestimenti in ghisa
Regolatore Meccanico
Comando velocità/starter Leve separate, ritorno starter automatico
Impianto di raffreddamento Aria
Filtro aria A secco, sostituibile
Cambio olio Scarico dell'olio senza attrezzi con filtro sostituibile
Tipo Benzina
Mandata del carburante Pompa a impulsi, carburatore
Indicatore livello carburante Indicatore su cruscotto
Posizione del serbatoio carburante Posteriore
Bocchettone di rifornimento carburante Sul parafango sinistro, 7,6 cm3 in.
Capacità serbatoio carburante 12,5 L3,3 U.S. gal.
Batteria 12 V340 CCA
Sistema di carica Alternatore a volano, regolato, 12 amp
Motorino di avviamento motore Bendix
Contaore Sì
Fari anteriori Due standard
Luci di coda o catarinfrangente No
Retroilluminazione No
Luci di lavoro posteriori No
Presa da 12 V No
Tipo K58 idrostatico integrato con trasmissione
Comando Pedali Twin Touch™
CruiseControl Sì, leva sul cruscotto
Scambiatore di calore dell'olio Alette e ventola su transaxle
Filtro olio Sì, interno
Bloccaggio del differenziale No
Velocità di avanzamento 0-10 km/h0-6,2 mph
Velocità di retromarcia 0-5,6 km/h0-3,5 mph
Freni Disco interno a bagno d'olio
Telaio Saldato rinforzato
Vernice di fondo/vernice Elettroforesi/polvere
Contrappeso Opzionale anteriore e opzionale posteriore, ciascuna sostiene fino a due pesi Quik-Tatch™, 19 kg42 lb
Attacco femmina No
Assale anteriore Ghisa
Boccole degli alberini No
Pneumatici anteriori 15x6,5-8
Pneumatici posteriori 22x11-10
Materiale del cofano Il materiale completamente integrato, stampato in tinta attutisce il rumore, non si arrugginisce o ammacca.
Materiale del piatto di taglio Acciaio stampato
Tappetini Gomma antiscivolo
Vano portaoggetti Sì, cassetta portattrezzi sotto il sedile e coperta
Etichetta adesiva con intervalli di manutenzione Sì
Maniglie/impugnature parafango No
Portatazza Sì
Montaggio attrezzatura Sì, rinforzato
Tipo Manuale, a settore e a pignone
Sterzo sulle quattro ruote Non disponibile su questo modello
Volante 35,6 cm14 in.
Volante inclinabile No
Raggio di sterzata 40,6 cm16 in.
Raggio cerchio non tagliato Piatto tosaerba 48A: 53,3 cm21 in.Piatto tosaerba 54A: 46 cm18 in.
Tipo Schienale alto personalizzato
Altezza schienale 46 cm18 in.
Braccioli Opzionali
Regolazione longitudinale Con operatore seduto, guida di scorrimento, 15 posizioni, 17 cm6,6 in.
Sospensione del sedile Due molle a spirale, regolazione in tre posizioni senza attrezzi in base al peso dell'operatore
Tipo Con acceleratore a pedale e supporto a molla regolabile
Attacchi idraulici No
Altezza di taglio del tosaerba 13 posizioni, 2,5-10,2 cm1-4 in.
Incrementi altezza di taglio 0,64 cm0,25 in.
Altezza di taglio predefinita Sì
Tipo Scarico laterale
Larghezza di taglio 122 o 137 cm48 o 54 in.
Struttura Cassa del piatto di taglio in acciaio stampato
Materiale piatto di taglio 10 gauge3,4 mm0,135 in.
Presa di lavaggio del tosaerba Sì
Sistema di trasmissione tosaerba Cinghia in linea, PTO elettrica
Ruote tosaerba Quattro
Regolazione ruote tosaerba Perno caricato a molla, sette posizioni
Regolazione livello del tosaerba Condotti di regolazione di precisione e volantino di livellamento del piatto di taglio a bordo
Tipo Slittamento sotto il trattore
Bracci delle parallele anteriori Fissati in due punti con spine elastiche
Bracci delle parallele posteriori Due perni a J caricati a molla
Rotazione ruote tosaerba Sì
Sistema di trasmissione Cinghia doppia
Conforme agli standard ANSI Sì
Conforme agli standard OPEI Sì
Protezione di sicurezza Opzione uso attrezzo in retromarcia (RIO)
Video sulla sicurezza
Note Il materiale completamente integrato, stampato in tinta attutisce il rumore, non si arrugginisce o ammacca.Primer e finitura con vernice in polvere elettroforetici duraturi
Garanzia
Raccoglierba posteriore 42A: 2 sacchi, 250 L7 bu
Raccoglierba motorizzato Soffiatore Power Flow™
Sistema di pacciamatura Sì
Strigliatore anteriore
Lama anteriore 112 cm44 in.
Lama intermedia
Turbina da neve 112 cm44 in.
Spazzola rotativa
Dissodatore rotativo
Manicotto dell’attacco
Attacco a 3 punti
Presa di forza (PTO) posteriore
Aratro a versoio
Raschiatore
Coltivatore
Lama posteriore
Erpice a dischi
Rastrello raccoglipietre
Irroratrice
Spargitrice Traino posteriore, 80 kg175 lb
Paraurti anteriore Opzione paraurti sagomato
Protezione spazzola Sì
Protezione dalle intemperie
Copertura parasole
Attacco gancio posteriore
Portabenna
Striatura erba
Pala per trattore
Caricatore frontale
Altre attrezzature
Strumenti con traino posteriore
Tosaerba
Altezza 124 cm49 in.
Lunghezza totale 182,9 cm72 in.
Passo 125,5 cm49,4 in.
Larghezza con il tosaerba 48A: 159 cm62,5 in.54A: 174 cm68,4 in.
Larghezza con tosaerba (deflettore sollevato per immagazzinamento) 48A: 136 cm53,6 in.54A: 151 cm59,4 in.
Larghezza senza il tosaerba 97,8 cm38,5 in.
Peso Piatto tosaerba 48A, senza carburante: 299 kg659 lbPiatto tosaerba 54A, senza carburante: 303 kg667 lb
Posizione produzione Horicon (Wisconsin), USA
Dati Raccolti 27 luglio 2020",John Deere,0000,Macchine,C:\ImmaginiDanea\jd\X380.jpg,https://www.deere.it/it/tosaerba/trattorini/serie-x300/x380/
