Descrizione,Categoria,Sottocategoria,Listino 4 (ivato),Note,Produttore,Cod. Fornitore,Categoria,Immagine,Internet
X107,Macchine,Trattorini,3490,"Innesto del piatto: meccanico
Sedile: Standard
Kit per mulching: opzionale
Sistema di raccolta: opzionale
Paraurti: opzionale
Specifiche
John Deere X107 Trattorini
Motore - Potenza Potenza nominale CE (testata in conformità alle norme SAE J1349), a 3.200 giri/min (±100): 11,11 kW
Cambio olio Scarico dell'olio senza attrezzi con filtro sostituibile
Motore -  Produttore/Modello 31R977 (M31)
Tipo di gruppo cambio/differenziale Idrostatico, due ruote motrici
Transasse - Comando Due pedali affiancati
Pneumatici posteriori 20x8-8
Tipo sistema di sollevamento Leva dell'impugnatura a molla
Larghezza di taglio 107 cm42 in.
Garanzia
Potenza Potenza nominale CE (testata in conformità alle norme SAE J1349), a 3.200 giri/min (±100): 11,11 kW
Cilindrata 500 cc30,5 cu in.
Produttore/Modello 31R977 (M31)
Tipo Valvola in testa (OHV), lubrificazione a piena pressione, filtro olio
Cilindri Uno
Regolatore Meccanico
Comando velocità/starter Leva singola con ritorno a molla sullo starter
Impianto di raffreddamento Aria
Filtro aria Cartuccia
Cambio olio Scarico dell'olio senza attrezzi con filtro sostituibile
Tipo Benzina
Mandata del carburante Pompa a impulsi, carburatore
Indicatore livello carburante Meccanico, visibile dal sedile
Posizione del serbatoio carburante Posteriore
Bocchettone di rifornimento carburante Centrale, 4,45 cm1,75 in.
Capacità serbatoio carburante 9 L2,4 U.S. gal.
Batteria 12 V300 CCA
Sistema di carica Regolato, 8 amp
Motorino di avviamento motore Tipo Bendix
Contaore Sì
Fari anteriori Due standard, a incandescenza
Luci di coda o catarinfrangente No
Retroilluminazione No
Luci di lavoro posteriori No
Presa da 12 V No
Tipo Idrostatico, due ruote motrici
Comando Due pedali affiancati
CruiseControl No
Scambiatore di calore dell'olio Alette e ventola su transaxle
Filtro olio Sì, non riparabile
Bloccaggio del differenziale No
Velocità di avanzamento 0-8,9 km/h0-5,5 mph
Velocità di retromarcia 0-5,2 km/h0-3,2 mph
Freni Disco a bagno d'olio interno
Telaio Acciaio saldato su tutta la lunghezza
Vernice di fondo/vernice Elettroforesi/polvere
Contrappeso No
Attacco femmina No
Assale anteriore Ghisa
Boccole degli alberini No
Pneumatici anteriori 15x6-6
Pneumatici posteriori 20x8-8
Materiale del cofano Il materiale stampato in tinta attutisce il rumore, non si arrugginisce e non si ammacca
Materiale del piatto di taglio Acciaio stampato
Tappetini Sì, con canalette per i detriti
Vano portaoggetti Vano portaoggetti (copertura opzionale disponibile)
Etichetta adesiva con intervalli di manutenzione No
Maniglie/impugnature parafango No
Portatazza Sì
Montaggio attrezzatura CargO Mount™
Tipo Manuale, sterzatura a due ruote
Sterzo sulle quattro ruote Non disponibile su questo modello
Volante Diametro modello standard: 30,5 cm12 in.
Volante inclinabile No
Raggio di sterzata 45,7 cm18 in.
Raggio cerchio non tagliato 63,5 cm25 in.
Tipo Monoblocco
Altezza schienale 28 cm11 in.
Braccioli No
Regolazione longitudinale A operatore seduto, 14 cm5,5 in.
Sospensione del sedile Inclinabile, due molle a spirale
Tipo Leva dell'impugnatura a molla
Attacchi idraulici No
Altezza di taglio del tosaerba 13 posizioni, 2,5-10,2 cm1-4 in.
Incrementi altezza di taglio 0,64 cm0,25 in.
Altezza di taglio predefinita No
Tipo Scarico laterale
Larghezza di taglio 107 cm42 in.
Struttura Cassa del piatto in acciaio stampato
Materiale piatto di taglio Acciaio, 13 gauge2,3 mm0,090 in.
Presa di lavaggio del tosaerba Sì
Sistema di trasmissione tosaerba PTO manuale
Ruote tosaerba Due
Regolazione ruote tosaerba Un bullone
Regolazione livello del tosaerba Piatto con livellamento semplice
Tipo Slittamento sotto il trattore
Bracci delle parallele anteriori Spina elastica
Bracci delle parallele posteriori Due clip a molla
Rotazione ruote tosaerba No
Sistema di trasmissione Cinghia singola
Conforme agli standard ANSI
Conforme agli standard OPEI
Protezione di sicurezza Opzione uso attrezzo in retromarcia (RIO)
Video sulla sicurezza No
Note Il materiale stampato in tinta attutisce il rumore, non si arrugginisce e non si ammaccaPrimer e finitura con vernice in polvere duraturiTelaio in acciaio interamente saldato
Garanzia
Tosaerba
Raccoglierba posteriore Due sacchi, 230 L6,5 bu
Raccoglierba motorizzato
Sistema di pacciamatura Coperchio per mulching o tappo a elevate prestazioni
Strigliatore anteriore
Lama anteriore 125 cm49 in.
Lama intermedia
Turbina da neve
Spazzola rotativa 120 cm47 in.
Dissodatore rotativo
Manicotto dell’attacco
Attacco a 3 punti
Presa di forza (PTO) posteriore
Aratro a versoio
Raschiatore
Coltivatore
Lama posteriore
Erpice a dischi
Rastrello raccoglipietre
Irroratrice
Spargitrice Solo traino posteriore, 80 kg175 lb
Paraurti anteriore Paraurti anteriore sagomato
Protezione spazzola
Protezione dalle intemperie
Copertura parasole
Attacco gancio posteriore
Portabenna
Striatura erba
Pala per trattore
Caricatore frontale
Altre attrezzature Staffa per peso posteriore
Strumenti con traino posteriore
Altezza 102 cm40,2 in.
Lunghezza totale 177 cm69,7 in.
Passo 124,2 cm48,9 in.
Larghezza con il tosaerba 132 cm52 in.
Larghezza con tosaerba (deflettore sollevato per immagazzinamento) 118,1 cm46,5 in.
Larghezza senza il tosaerba
Peso Con piatto tosaerba, senza carburante: 193 kg425 lb
Posizione produzione
Dati Raccolti 30 luglio 2020",John Deere,0000,Macchine,C:\ImmaginiDanea\jd\X107.jpg,https://www.deere.it/it/tosaerba/trattorini/serie-x100/x107/
X117R,Macchine,Trattorini,4404,"Innesto del piatto: meccanico
Capacità di raccolta: 300 litri
Sedile: Standard
Kit per mulching: opzionale
Paraurti: opzionale
Specifiche
John Deere X117R Trattorini
Motore - Potenza Potenza nominale CE (testata in conformità alle norme SAE J1349), a 3.100 giri/min (±100): 10,84 kW
Cambio olio Scarico dell'olio senza attrezzi con filtro sostituibile
Motore -  Produttore/Modello 31R977 (M31)
Tipo di gruppo cambio/differenziale Idrostatico, due ruote motrici
Transasse - Comando Due pedali affiancati
Pneumatici posteriori 18x8,5-8
Tipo sistema di sollevamento Leva dell'impugnatura a molla
Larghezza di taglio 92 cm36 in.
Garanzia
Potenza Potenza nominale CE (testata in conformità alle norme SAE J1349), a 3.100 giri/min (±100): 10,84 kW
Cilindrata 500 cc30,5 cu in.
Produttore/Modello 31R977 (M31)
Tipo Valvola in testa (OHV), lubrificazione a piena pressione, filtro olio
Cilindri Uno
Regolatore Meccanico
Comando velocità/starter Leva singola con ritorno a molla sullo starter
Impianto di raffreddamento Aria
Filtro aria Cartuccia
Cambio olio Scarico dell'olio senza attrezzi con filtro sostituibile
Tipo Benzina
Mandata del carburante Pompa a impulsi, carburatore
Indicatore livello carburante Indicatore visivo
Posizione del serbatoio carburante Posteriore
Bocchettone di rifornimento carburante Centrale, 4,45 cm1,75 in.
Capacità serbatoio carburante 8 L2,1 U.S. gal.
Batteria 12 V300 CCA
Sistema di carica Regolato, 8 amp
Motorino di avviamento motore Tipo Bendix
Contaore Sì
Fari anteriori Due standard, a incandescenza
Luci di coda o catarinfrangente No
Retroilluminazione No
Luci di lavoro posteriori No
Presa da 12 V No
Tipo Idrostatico, due ruote motrici
Comando Due pedali affiancati
CruiseControl No
Scambiatore di calore dell'olio Alette e ventola su transaxle
Filtro olio Sì, non riparabile
Bloccaggio del differenziale No
Velocità di avanzamento 0-8,4 km/h0-5,2 mph
Velocità di retromarcia 0-4,8 km/h0-3,0 mph
Freni Disco a bagno d'olio interno
Telaio Acciaio saldato su tutta la lunghezza
Vernice di fondo/vernice Elettroforesi/polvere
Contrappeso No
Attacco femmina No
Assale anteriore Ghisa
Boccole degli alberini No
Pneumatici anteriori 15x6-6
Pneumatici posteriori 18x8,5-8
Materiale del cofano Il materiale stampato in tinta attutisce il rumore, non si arrugginisce e non si ammacca
Materiale del piatto di taglio Acciaio stampato
Tappetini Sì, con canalette per i detriti
Vano portaoggetti No
Etichetta adesiva con intervalli di manutenzione No
Maniglie/impugnature parafango No
Portatazza Sì
Montaggio attrezzatura CargO Mount™ anteriore
Tipo Manuale, sterzatura a due ruote
Sterzo sulle quattro ruote Non disponibile su questo modello
Volante Diametro modello standard: 30,5 cm12 in.
Volante inclinabile No
Raggio di sterzata 55,2 cm21,75 in.
Raggio cerchio non tagliato 68,6 cm27 in.
Tipo Monoblocco
Altezza schienale 28 cm11 in.
Braccioli No
Regolazione longitudinale A operatore seduto, 14 cm5,5 in.
Sospensione del sedile Inclinabile, due molle a spirale
Tipo Leva dell'impugnatura a molla
Attacchi idraulici No
Altezza di taglio del tosaerba 13 posizioni, 2,5-9 cm1-3,5 in.
Incrementi altezza di taglio 0,64 cm0,25 in.
Altezza di taglio predefinita No
Tipo Scarico posteriore
Larghezza di taglio 92 cm36 in.
Struttura Cassa del piatto in acciaio stampato
Materiale piatto di taglio Acciaio, 12 gauge2,7 mm0,105 in.
Presa di lavaggio del tosaerba Sì
Sistema di trasmissione tosaerba PTO manuale
Ruote tosaerba Zero
Regolazione ruote tosaerba Un bullone
Regolazione livello del tosaerba Piatto con livellamento semplice
Tipo Slittamento sotto il trattore
Bracci delle parallele anteriori Spina elastica
Bracci delle parallele posteriori Due clip a molla
Rotazione ruote tosaerba No
Sistema di trasmissione Cinghia singola
Conforme agli standard ANSI
Conforme agli standard OPEI
Protezione di sicurezza Opzione uso attrezzo in retromarcia (RIO)
Video sulla sicurezza No
Note Il materiale stampato in tinta attutisce il rumore, non si arrugginisce e non si ammaccaPrimer e finitura con vernice in polvere duraturiTelaio in acciaio interamente saldato
Garanzia
Tosaerba
Raccoglierba posteriore 300 L8,5 bu
Raccoglierba motorizzato
Sistema di pacciamatura Sì
Strigliatore anteriore
Lama anteriore 125 cm49 in.
Lama intermedia
Turbina da neve
Spazzola rotativa 120 cm47 in.
Dissodatore rotativo
Manicotto dell’attacco
Attacco a 3 punti
Presa di forza (PTO) posteriore
Aratro a versoio
Raschiatore
Coltivatore
Lama posteriore
Erpice a dischi
Rastrello raccoglipietre
Irroratrice
Spargitrice Solo traino posteriore, 80 kg175 lb
Paraurti anteriore Paraurti anteriore sagomato
Protezione spazzola
Protezione dalle intemperie
Copertura parasole
Attacco gancio posteriore
Portabenna
Striatura erba
Pala per trattore
Caricatore frontale
Altre attrezzature
Strumenti con traino posteriore
Altezza 103 cm40,6 in.
Lunghezza totale 244 cm96 in.
Passo 124,2 cm48,9 in.
Larghezza con il tosaerba 96 cm37,8 in.
Larghezza con tosaerba (deflettore sollevato per immagazzinamento)
Larghezza senza il tosaerba
Peso Con piatto tosaerba, senza carburante: 234 kg516 lb
Posizione produzione
Dati Raccolti 30 luglio 2020",John Deere,0000,Macchine,C:\ImmaginiDanea\jd\X117R.jpg,https://www.deere.it/it/tosaerba/trattorini/serie-x100/x117r/
,,,,,,,,,
Z345R,Macchine,Trattorini,6282,"Facile da guidare
Manovrabilità eccezionale
Struttura robusta
Velocità di taglio elevate: 10,8 km/h
Motore da 14,9 kW, 724cc
Piatto Accel Deep™ da 107 cm (42“)
Specifications
John Deere Z345R Trattorini
Dimensioni area Oltre 8.000 m²
Larghezza di taglio 42"" Accel Deep (107 cm)
Potenza 14,9 kW3.050 giri/min
Velocità Fino a 10,8 km/h (6,7 mph)",John Deere,0000,Macchine,C:\ImmaginiDanea\jd\Z345R.jpg,https://www.deere.it/it/tosaerba/trattorini/serie-ztrak/z345r/
,,,,,,,,,
Z545R,Macchine,Trattorini,9797,"Facile da guidare
Manovrabilità eccezionale
Struttura robusta
Velocità di taglio elevate: 14,5 km/h
Motore da 15,3 kW, 724cc
Piatto ad alta capacità da 122 cm (48“)
Specifiche
John Deere Z545R Trattorini
Dimensioni area Oltre 8.000 m²
Larghezza di taglio 48"" ad alta capacità (122 cm)
Potenza 16,1 kW / 3350 rpm
Velocità Fino a 14,5 km/h (9 mph)",John Deere,0000,Macchine,C:\ImmaginiDanea\jd\Z545R.jpg,https://www.deere.it/it/tosaerba/trattorini/serie-ztrak/z545r/
,,,,,,,,,
,,,,,,,,,
X584,Macchine,Trattorini,11287,"Potenza e prestazioni straordinarie
Telaio saldato rinforzato
4 ruote sterzanti
Sollevamento idraulico del piatto
Specifications
John Deere X584 Trattorini
Motore - Potenza A 3350 giri/min, 16,1 kW
Motore -  Produttore/Modello FS730V
Tipo di gruppo cambio/differenziale K72 idrostatico integrato con trasmissione
Transasse - Comando Pedali Twin Touch™
Pneumatici posteriori 24x9,5-12 per manto erboso
Tipo sistema di sollevamento Potenza idraulica
Larghezza di taglio 122, 137 cm48, 54 in.
Garanzia
Cambio olio
Potenza A 3.350 giri/min, 16,1 kW
Cilindrata 726 cc44,3 cu in.
Produttore/Modello FS730V
Tipo Valvola in testa (OHV), lubrificazione a piena pressione, filtro olio
Cilindri Accoppiati a V, rivestimenti in ghisa
Regolatore Meccanico
Comando velocità/starter Leve separate, ritorno starter automatico
Impianto di raffreddamento Aria
Filtro aria A secco, sostituibile con schiuma predetergente
Cambio olio Scarico dell'olio senza attrezzi con filtro sostituibile
Tipo Benzina
Mandata del carburante Pompa a impulsi, carburatore
Indicatore livello carburante Indicatore su cruscotto
Posizione del serbatoio carburante Posteriore
Bocchettone di rifornimento carburante Sul parafango sinistro, 7,6 cm3 in.
Capacità serbatoio carburante 16,7 L4,4 U.S. gal.
Batteria 12 V340 CCA
Sistema di carica Alternatore a volano, regolato, 15 amp
Motorino di avviamento motore Elettrico
Contaore Sì
Fari anteriori Due standard
Luci di coda o catarinfrangente Catarifrangenti
Retroilluminazione No
Luci di lavoro posteriori No
Presa da 12 V Sì
Tipo K72 idrostatico integrato con trasmissione
Comando Pedali Twin Touch™
CruiseControl Sì, leva sul cruscotto
Scambiatore di calore dell'olio Alette e ventola su transaxle
Filtro olio Sì, sostituibile
Bloccaggio del differenziale Standard
Velocità di avanzamento 0-11,6 km/h0-7,2 mph
Velocità di retromarcia 0-8,4 km/h0-5,2 mph
Freni Disco interno in bagno d'olio
Telaio Saldato rinforzato
Vernice di fondo/vernice Elettroforesi/polvere
Contrappeso Standard anteriore e posteriore – Ciascuna sostiene fino a quattro pesi Quik-Tatch™, 19 kg42 lb
Attacco femmina No
Assale anteriore Ghisa
Boccole degli alberini In metallo, sostituibili
Pneumatici anteriori 16x6,5-8 per manto erboso
Pneumatici posteriori 24x9,5-12 per manto erboso
Materiale del cofano Il materiale completamente integrato, stampato in tinta attutisce il rumore, non si arrugginisce e non si ammacca.
Materiale del piatto di taglio Acciaio stampato
Tappetini Gomma antiscivolo
Vano portaoggetti Sì, cassetta portattrezzi sotto il sedile e coperta
Etichetta adesiva con intervalli di manutenzione Sì
Maniglie/impugnature parafango Impugnature
Portatazza Sì
Montaggio attrezzatura Sì, rinforzato
Tipo Alimentazione, quattro ruote sterzanti
Sterzo sulle quattro ruote Sì
Volante 35,6 cm14 in.
Volante inclinabile No
Raggio di sterzata 48,3 cm19 in.
Raggio cerchio non tagliato 48A, 38 cm15 in.54A, 30 cm12 in.
Tipo Schienale alto personalizzato
Altezza schienale 53 cm21 in.
Braccioli Opzionali
Regolazione longitudinale Con operatore seduto, guida di scorrimento, 15 posizioni, 17 cm6,6 in.
Sospensione del sedile Due molle a spirale, regolazione in tre posizioni senza attrezzi in base al peso dell'operatore
Tipo Potenza idraulica
Attacchi idraulici No
Altezza di taglio del tosaerba 13 posizioni, 2,5-10,2 cm1-4 in.
Incrementi altezza di taglio 0,64 cm0,25 in.
Altezza di taglio predefinita Sì
Tipo Scarico laterale
Larghezza di taglio 122, 137 cm48, 54 in.
Struttura Cassa del piatto in acciaio stampato
Materiale piatto di taglio 10 gauge3,4 mm0,135 in.
Presa di lavaggio del tosaerba Sì
Sistema di trasmissione tosaerba Cinghia in linea, PTO elettrica
Ruote tosaerba Quattro
Regolazione ruote tosaerba Perno caricato a molla, sette posizioni
Regolazione livello del tosaerba Condotti di regolazione di precisione Exact Adjust e volantino di livellamento del piatto a bordo
Tipo Slittamento sotto il trattore
Bracci delle parallele anteriori Fissati in due punti con spine elastiche
Bracci delle parallele posteriori Perni a J caricati a molla
Rotazione ruote tosaerba Sì, 90 gradi per una semplice rimozione del tosaerba
Sistema di trasmissione Cinghia doppia
Conforme agli standard ANSI Sì
Conforme agli standard OPEI Sì
Protezione di sicurezza Opzione uso attrezzo in retromarcia (RIO)
Video sulla sicurezza
Note Transaxle rinforzato per trattorino da giardinoServosterzo e sollevamento idraulico praticiQuattro ruote sterzanti standard per manovrabilità e precisione di taglio di livello superiore
Garanzia
Tosaerba 48A e 54A
Raccoglierba posteriore
Raccoglierba motorizzato Soffiatore Power Flow™
Sistema di pacciamatura Sì
Strigliatore anteriore
Lama anteriore 122 cm48 in.
Lama intermedia
Turbina da neve 119 cm47 in.
Spazzola rotativa
Dissodatore rotativo
Manicotto dell’attacco
Attacco a 3 punti
Presa di forza (PTO) posteriore
Aratro a versoio
Raschiatore
Coltivatore
Lama posteriore
Erpice a dischi
Rastrello raccoglipietre
Irroratrice
Spargitrice Traino posteriore, 80 kg175 lb
Paraurti anteriore Paraurti/contrappeso anteriore standard
Protezione spazzola Sì
Protezione dalle intemperie
Copertura parasole
Attacco gancio posteriore
Portabenna
Striatura erba
Pala per trattore
Caricatore frontale
Altre attrezzature Staffa per peso posteriore
Strumenti con traino posteriore
Altezza 132,7 cm52,25 in.
Lunghezza totale 201 cm79 in.
Passo 130 cm51,2 in.
Larghezza con il tosaerba 48A: 159 cm62,5 in.54A: 174 cm68,4 in.
Larghezza con tosaerba (deflettore sollevato per immagazzinamento) 48A: 136 cm53,6 in.54A: 151 cm59,4 in.
Larghezza senza il tosaerba 114,3 cm45 in.
Peso Tosaerba 48A, senza carburante: 380 kg838 lbTosaerba 54A, senza carburante: 384 kg846 lb
Posizione produzione Horicon (Wisconsin), USA
Dati Raccolti 27 luglio 2020",John Deere,0000,Macchine,C:\ImmaginiDanea\jd\X584.jpg,https://www.deere.it/it/tosaerba/trattorini/serie-x500/x584/
X590,Macchine,Trattorini,11145,"Potenza e prestazioni straordinarie
Telaio saldato rinforzato
Servosterzo
Sollevamento idraulico del piatto
Specifications
John Deere X590 Trattorini
Motore - Potenza A 3250 giri/min, 16,7 kW
Motore -  Produttore/Modello FS730 EFI
Tipo di gruppo cambio/differenziale K72 idrostatico integrato con trasmissione
Transasse - Comando Pedali Twin Touch™
Pneumatici posteriori 24x12-12 per manto erboso
Tipo sistema di sollevamento Potenza idraulica
Larghezza di taglio 122, 137 cm48, 54 in.
Garanzia
Cambio olio
Potenza A 3.250 giri/min, 16,7 kW
Cilindrata 726 cc44,3 cu in.
Produttore/Modello FS730 EFI
Tipo Impianto di iniezione elettronica (EFI), valvola in testa (OHV). Lubrificazione a piena pressione, filtro dell'olio
Cilindri Accoppiati a V, rivestimenti in ghisa
Regolatore Comando elettronico acceleratore a velocità costante
Comando velocità/starter EFI, starter non necessario
Impianto di raffreddamento Aria
Filtro aria A secco, sostituibile con schiuma predetergente
Cambio olio Scarico dell'olio senza attrezzi con filtro sostituibile
Tipo Benzina
Mandata del carburante Impianto di iniezione elettronica (EFI) a circuito aperto
Indicatore livello carburante Indicatore su cruscotto
Posizione del serbatoio carburante Posteriore
Bocchettone di rifornimento carburante Sul parafango sinistro, 7,6 cm3 in.
Capacità serbatoio carburante 16,7 L4,4 U.S. gal.
Batteria 12 V500 CCA
Sistema di carica Alternatore a volano, regolato, 15 amp
Motorino di avviamento motore Componenti elettronici
Contaore Sì
Fari anteriori Due standard
Luci di coda o catarinfrangente Catarifrangenti
Retroilluminazione No
Luci di lavoro posteriori No
Presa da 12 V Sì
Tipo K72 idrostatico integrato con trasmissione
Comando Pedali Twin Touch™
CruiseControl Sì, leva sul cruscotto
Scambiatore di calore dell'olio Alette e ventola su transaxle
Filtro olio Sì, sostituibile
Bloccaggio del differenziale Standard
Velocità di avanzamento 0-11,6 km/h0-7,2 mph
Velocità di retromarcia 0-8,4 km/h0-5,2 mph
Freni Disco interno in bagno d'olio
Telaio Saldato rinforzato
Vernice di fondo/vernice Elettroforesi/polvere
Contrappeso Standard anteriore e posteriore – Ciascuna sostiene fino a quattro pesi Quik-Tatch™, 19 kg42 lb
Attacco femmina No
Assale anteriore Ghisa
Boccole degli alberini In metallo, sostituibili
Pneumatici anteriori 16x6,5-8 per manto erboso
Pneumatici posteriori 24x12-12 per manto erboso
Materiale del cofano Il materiale completamente integrato, stampato in tinta attutisce il rumore, non si arrugginisce e non si ammacca.
Materiale del piatto di taglio Acciaio stampato
Tappetini Gomma antiscivolo
Vano portaoggetti Sì, cassetta portattrezzi sotto il sedile e coperta
Etichetta adesiva con intervalli di manutenzione Sì
Maniglie/impugnature parafango Impugnature
Portatazza Sì
Montaggio attrezzatura Sì, rinforzato
Tipo Alimentazione, sterzatura a due ruote
Sterzo sulle quattro ruote Non disponibile su questo modello
Volante 35,6 cm14 in.
Volante inclinabile Standard, cinque posizioni
Raggio di sterzata 55,9 cm22 in.
Raggio cerchio non tagliato 48A, 68,6 cm27 in.54A, 61 cm24 in.
Tipo Schienale alto personalizzato
Altezza schienale 53 cm21 in.
Braccioli Opzionali
Regolazione longitudinale Con operatore seduto, guida di scorrimento, 15 posizioni, 17 cm6,6 in.
Sospensione del sedile Due molle a spirale, regolazione in tre posizioni senza attrezzi in base al peso dell'operatore
Tipo Potenza idraulica
Attacchi idraulici No
Altezza di taglio del tosaerba 13 posizioni, 2,5-10,2 cm1-4 in.
Incrementi altezza di taglio 0,64 cm0,25 in.
Altezza di taglio predefinita Sì
Tipo Scarico laterale
Larghezza di taglio 122, 137 cm48, 54 in.
Struttura Cassa del piatto in acciaio stampato
Materiale piatto di taglio 10 gauge3,4 mm0,135 in.
Presa di lavaggio del tosaerba Sì
Sistema di trasmissione tosaerba Cinghia in linea, PTO elettrica
Ruote tosaerba Quattro
Regolazione ruote tosaerba Perno caricato a molla, sette posizioni
Regolazione livello del tosaerba Condotti di regolazione di precisione Exact Adjust e volantino di livellamento del piatto a bordo
Tipo Slittamento sotto il trattore
Bracci delle parallele anteriori Fissati in due punti con spine elastiche
Bracci delle parallele posteriori Perni a J caricati a molla
Rotazione ruote tosaerba Sì, 90 gradi per una semplice rimozione del tosaerba
Sistema di trasmissione Cinghia doppia
Conforme agli standard ANSI Sì
Conforme agli standard OPEI Sì
Protezione di sicurezza Opzione uso attrezzo in retromarcia (RIO)
Video sulla sicurezza
Note Transaxle rinforzato per trattorino da giardinoServosterzo e sollevamento idraulico praticiStaffe per pesi anteriori e posteriori integrate
Garanzia
Tosaerba 48A e 54A
Raccoglierba posteriore
Raccoglierba motorizzato Soffiatore Power Flow™
Sistema di pacciamatura Sì
Strigliatore anteriore
Lama anteriore 122 cm48 in.
Lama intermedia
Turbina da neve 119 cm47 in.
Spazzola rotativa
Dissodatore rotativo
Manicotto dell’attacco
Attacco a 3 punti
Presa di forza (PTO) posteriore
Aratro a versoio
Raschiatore
Coltivatore
Lama posteriore
Erpice a dischi
Rastrello raccoglipietre
Irroratrice
Spargitrice Traino posteriore, 80 kg175 lb
Paraurti anteriore Paraurti/contrappeso anteriore standard
Protezione spazzola Sì
Protezione dalle intemperie
Copertura parasole
Attacco gancio posteriore
Portabenna
Striatura erba
Pala per trattore
Caricatore frontale
Altre attrezzature
Strumenti con traino posteriore
Altezza 132,7 cm52,25 in.
Lunghezza totale 201 cm79 in.
Passo 130 cm51,2 in.
Larghezza con il tosaerba 48A: 159 cm62,5 in.54A: 174 cm68,4 in.
Larghezza con tosaerba (deflettore sollevato per immagazzinamento) 48A: 136 cm53,6 in.54A: 151 cm59,4 in.
Larghezza senza il tosaerba 104,1 cm43 in.
Peso Tosaerba 48A, senza carburante: 361 kg797 lbTosaerba 54A, senza carburante: 365 kg805 lb
Posizione produzione Horicon (Wisconsin), USA
Dati Raccolti 27 luglio 2020",John Deere,0000,Macchine,C:\ImmaginiDanea\jd\X590.jpg,https://www.deere.it/it/tosaerba/trattorini/serie-x500/x590/
,,,,,,,,,
,,,,,,,,,
Z997R,Macchine,ZTrak™ diesel,,"27,5 kW (37,4 CV) a 2.800 giri/min (Stage V)
Velocità di avanzamento: 18 km/h (11,5 mph)
Larghezze di taglio: 152 cm (60’’) o 183 cm (72’’)
Pneumatici radiali Airless MichelXTweel Turf opzionali
",John Deere,0000,Macchine,C:\ImmaginiDanea\jd\Z997R.jpg,https://www.deere.it/it/tosaerba-professionali/tosaerba-a-raggio-di-sterzata-zero/z997r/
,,,,,,,,,
,,,,,,,,,
Z530M,Macchine,Trattorini,8459,"Facile da guidare
Manovrabilità eccezionale
Struttura robusta
Velocità di taglio elevate: 12,9 km/h
Motore da 16,7 kW, 726cc
Piatto Accel Deep™ da 122 cm (48“)
Specifiche
John Deere Z530M Trattorini
Dimensioni area Oltre 8.000 m²
Larghezza di taglio 48"" Accel Deep (122 cm)
Potenza 16,7 kW (22,4 CV) a 3.350 giri/min*
Velocità Fino a 13,7 km/h8,5 mph",John Deere,0000,Macchine,C:\ImmaginiDanea\jd\Z530M.jpg,https://www.deere.it/it/tosaerba/trattorini/serie-ztrak/z530m/
Z335E,Macchine,Trattorini,5534,"Facile da guidare
Manovrabilità eccezionale
Struttura robusta
Velocità di taglio elevate: 10,8 km/h
Motore da 12,3 kW, 656cc
Piatto Accel Deep™ da 107 cm (42“)
Specifications
John Deere Z335E Trattorini
Dimensioni area fino a 8.000 m²
Larghezza di taglio 42"" Accel Deep (107 cm)
Potenza 12,3 kW a 3.050 giri/min
Velocità Fino a 10,8 km/h (6,7 mph)",John Deere,0000,Macchine,C:\ImmaginiDanea\jd\Z335E.jpg,https://www.deere.it/it/tosaerba/trattorini/serie-ztrak/z335e/
Z950R,Macchine,ZTrak™ a benzina,,"19 kW (25,5 CV) a 3.250 giri/min (Stage V)
Velocità di avanzamento: 19,3 km/h (12 mph)
Larghezze di taglio: 152 cm (60’’) o 183 cm (72’’)
Pneumatici radiali Airless MichelXTweel Turf opzionali
",John Deere,0000,Macchine,C:\ImmaginiDanea\jd\Z950R.jpg,https://www.deere.it/it/tosaerba-professionali/tosaerba-a-raggio-di-sterzata-zero/z950r/
,,,,,,,,,
,,,,,,,,,
Z994R,Macchine,ZTrak™ diesel,,"18,4 kW (24,7 CV) a 3.200 giri/min (Stage V)
Velocità di avanzamento: 17 km/h (10,5 mph)
Larghezze di taglio: 137 cm (54’’) o 152 cm (60’’)
Pneumatici radiali Airless MichelXTweel Turf opzionali
",John Deere,0000,Macchine,C:\ImmaginiDanea\jd\Z994R.jpg,https://www.deere.it/it/tosaerba-professionali/tosaerba-a-raggio-di-sterzata-zero/z994r/
,,,,,,,,,
,,,,,,,,,
Z515E,Macchine,Trattorini,7566,"Facile da guidare
Manovrabilità eccezionale
Struttura robusta
Velocità di taglio elevate: 12,9 km/h
Motore da 13,4 kW, 724cc
Piatto Accel Deep™ da 122 cm (48“)
Specifiche
John Deere Z515E Trattorini
Dimensioni area Oltre 8.000 m²
Larghezza di taglio 48"" Accel Deep (122 cm)
Potenza 13,4 kW (18,0) a 3.350 giri/min*
Velocità Fino a 13,7 km/h (8,5 mph)",John Deere,0000,Macchine,C:\ImmaginiDanea\jd\Z515E.jpg,https://www.deere.it/it/tosaerba/trattorini/serie-ztrak/z515e/
,,,,,,,,,
,,,,,,,,,
Descrizione,Categoria,Sottocategoria,Listino 4 (ivato),Note,Produttore,Cod. Fornitore,Categoria,Immagine,Internet
